Banco;Cuenta;TipoRec;Fecha Corte;Fecha Trn;ValorTotal;Divipo;%;ot
52;;SIMIT;2007-02-12;2007-02-12;280014,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;4856526,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;230519,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;3317196,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;4335470,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;4514805,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;4539685,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;4901544,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;4038291,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;3911289,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;5062709,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;154418,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;3764174,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;4268992,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;285855,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;3901233,00;05001000;10;Medellin
52;;SIMIT;2007-02-23;2007-02-23;4415078,00;05001000;10;Medellin
52;;SIMIT;2007-03-09;2007-03-09;5407524,00;05001000;10;Medellin
52;;SIMIT;2007-03-09;2007-03-09;4066840,00;05001000;10;Medellin
52;;SIMIT;2007-03-09;2007-03-09;3828081,00;05001000;10;Medellin
52;;SIMIT;2007-03-09;2007-03-09;3902478,00;05001000;10;Medellin
52;;SIMIT;2007-03-09;2007-03-09;352021,00;05001000;10;Medellin
52;;SIMIT;2007-03-09;2007-03-09;4538067,00;05001000;10;Medellin
52;;SIMIT;2007-03-09;2007-03-09;4427430,00;05001000;10;Medellin
52;;SIMIT;2007-03-09;2007-03-09;3274686,00;05001000;10;Medellin
52;;SIMIT;2007-03-09;2007-03-09;4884149,00;05001000;10;Medellin
52;;SIMIT;2007-03-09;2007-03-09;5834463,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;346992,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;4180842,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;4159688,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;5268023,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;4716256,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;4250652,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;5246540,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;450468,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;4568574,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;4602735,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;4394693,00;05001000;10;Medellin
