"IDMUNICIPIO";"VALOR_TOTAL";"INDTIPO";"VIGENCIA";"ORIGEN";"CUENTA_RECAUDO";"IDBANCO";"NOM_BANCO";"FEC_TRAN";"FEC_CORTE";"NOMMUNICIPIO"
"20710000";"16718769.20";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"11/12/2013";"31/01/2014";"SAN ALBERTO";
"27361000";"169400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"09/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"07/01/2014";"31/01/2014";"ISTMINA";
"68307000";"917768.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"20/01/2014";"31/01/2014";"GIRON";
"27361000";"45300.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"24/01/2014";"31/01/2014";"ISTMINA";
"27361000";"169400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"23/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84800.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"23/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84150.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"20/01/2014";"31/01/2014";"ISTMINA";
"27361000";"45200.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"20/01/2014";"31/01/2014";"ISTMINA";
"68307000";"162100.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"17/01/2014";"31/01/2014";"GIRON";
"27361000";"169400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"17/01/2014";"31/01/2014";"ISTMINA";
"68307000";"44300.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"24/02/2014";"28/02/2014";"GIRON";
"68307000";"110400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"21/02/2014";"28/02/2014";"GIRON";
