Fecha;Cod. Trn.;Descripcion Movimiento;Referencia;Debito;Credito;Imp. GMF;Oficina;
09/11/2010;252;DEPOSITO AHORROS;0;;25,750.00;;TUMACO;
09/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
09/11/2010;252;DEPOSITO AHORROS;0;;6,870.00;;TUMACO;
09/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
09/11/2010;252;DEPOSITO AHORROS;0;;38,317.00;;MIRANDA;
09/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;MIRANDA;
09/11/2010;252;DEPOSITO AHORROS;0;;26,000.00;;FLORIDA-VALLE;
09/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
09/11/2010;252;DEPOSITO AHORROS;0;;26,000.00;;FLORIDA-VALLE;
09/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
09/11/2010;252;DEPOSITO AHORROS;0;;36,000.00;;FLORIDA-VALLE;
09/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
09/11/2010;252;DEPOSITO AHORROS;0;;25,750.00;;TUMACO;
09/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
09/11/2010;221;INTERESES DE AHORROS;0;;1,674.00;;AVENIDA CHILE;
10/11/2010;252;DEPOSITO AHORROS;0;;37,771.00;;TUMACO;
10/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
10/11/2010;252;DEPOSITO AHORROS;0;;11,540.00;;TUMACO;
10/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
10/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
10/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
10/11/2010;252;DEPOSITO AHORROS;0;;25,750.00;;TUMACO;
10/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
10/11/2010;221;INTERESES DE AHORROS;0;;1,681.00;;AVENIDA CHILE;
11/11/2010;252;DEPOSITO AHORROS;0;;6,600.00;;TUMACO;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
11/11/2010;252;DEPOSITO AHORROS;0;;12,400.00;;TUMACO;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
11/11/2010;252;DEPOSITO AHORROS;0;;6,867.00;;TUMACO;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
11/11/2010;252;DEPOSITO AHORROS;0;;24,850.00;;TUMACO;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
11/11/2010;252;DEPOSITO AHORROS;0;;1,497,230.00;;MARINILLA;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;MARINILLA;
11/11/2010;252;DEPOSITO AHORROS;0;;56,123.00;;TUMACO;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
11/11/2010;252;DEPOSITO AHORROS;0;;6,600.00;;TUMACO;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
11/11/2010;252;DEPOSITO AHORROS;0;;6,600.00;;TUMACO;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
11/11/2010;252;DEPOSITO AHORROS;0;;14,172.00;;TUMACO;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
11/11/2010;252;DEPOSITO AHORROS;0;;53,141.00;;TUMACO;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
11/11/2010;252;DEPOSITO AHORROS;0;;26,715.00;;TUMACO;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
11/11/2010;252;DEPOSITO AHORROS;0;;26,000.00;;FLORIDA-VALLE;
11/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
11/11/2010;221;INTERESES DE AHORROS;0;;1,685.00;;AVENIDA CHILE;
12/11/2010;252;DEPOSITO AHORROS;0;;13,255.00;;MIRANDA;
12/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;MIRANDA;
12/11/2010;252;DEPOSITO AHORROS;0;;86,972.00;;LETICIA  SUCURSAL;
12/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;8,418.00;;34.00;LETICIA  SUCURSAL;
12/11/2010;253;NC TES AUT ABONO TRASLADO CENIT;113;;1,172,184.00;0.00;DIRECCION NACIONAL PROPIO;
12/11/2010;253;NC TES AUT ABONO TRASLADO CENIT;113;;1,352,063.00;0.00;DIRECCION NACIONAL PROPIO;
12/11/2010;252;DEPOSITO AHORROS;0;;6,875.00;;TUMACO;
12/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
12/11/2010;252;DEPOSITO AHORROS;0;;28,300.00;;TUMACO;
12/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
12/11/2010;252;DEPOSITO AHORROS;0;;28,000.00;;TUMACO;
12/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
12/11/2010;252;DEPOSITO AHORROS;0;;24,850.00;;TUMACO;
12/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
12/11/2010;253;NC PRD AUT ABONO RELIQUIDACION INTERESES;145;;41.00;0.00;AVENIDA CHILE;
12/11/2010;221;INTERESES DE AHORROS;0;;7,339.00;;AVENIDA CHILE;
16/11/2010;252;DEPOSITO AHORROS;0;;123,168.00;;SANTA ROSA DE OSOS;
16/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;SANTA ROSA DE OSOS;
16/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
16/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
16/11/2010;252;DEPOSITO AHORROS;0;;6,626.00;;TUMACO;
16/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
16/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
16/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
16/11/2010;252;DEPOSITO AHORROS;0;;12,800.00;;TUMACO;
16/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
16/11/2010;221;INTERESES DE AHORROS;0;;2,041.00;;AVENIDA CHILE;
17/11/2010;252;DEPOSITO AHORROS;0;;50,125.00;;RIOSUCIO (CALDAS);
17/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;RIOSUCIO (CALDAS);
17/11/2010;252;DEPOSITO AHORROS;0;;12,878.00;;TUMACO;
17/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
17/11/2010;252;DEPOSITO AHORROS;0;;12,800.00;;TUMACO;
17/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
17/11/2010;252;DEPOSITO AHORROS;0;;26,000.00;;FLORIDA-VALLE;
17/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
17/11/2010;252;DEPOSITO AHORROS;0;;6,875.00;;TUMACO;
17/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
17/11/2010;221;INTERESES DE AHORROS;0;;2,046.00;;AVENIDA CHILE;
18/11/2010;252;DEPOSITO AHORROS;0;;14,000.00;;FLORIDA-VALLE;
18/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
18/11/2010;252;DEPOSITO AHORROS;0;;13,735.00;;TUMACO;
18/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
18/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
18/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
18/11/2010;252;DEPOSITO AHORROS;0;;874,700.00;;EL BORDO;
18/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;EL BORDO;
18/11/2010;252;DEPOSITO AHORROS;0;;12,900.00;;EL TAMBO (CAUCA);
18/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;EL TAMBO (CAUCA);
18/11/2010;252;DEPOSITO AHORROS;0;;1,693,500.00;;EL RETIRO;
18/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;EL RETIRO;
18/11/2010;252;DEPOSITO AHORROS;0;;26,000.00;;FLORIDA-VALLE;
18/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
18/11/2010;221;INTERESES DE AHORROS;0;;2,049.00;;AVENIDA CHILE;
19/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
19/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
19/11/2010;252;DEPOSITO AHORROS;0;;265,678.00;;BOSCONIA;
19/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;BOSCONIA;
19/11/2010;252;DEPOSITO AHORROS;0;;6,875.00;;TUMACO;
19/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
19/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
19/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
19/11/2010;252;DEPOSITO AHORROS;0;;15,200.00;;TUMACO;
19/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
19/11/2010;252;DEPOSITO AHORROS;0;;6,875.00;;TUMACO;
19/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
19/11/2010;252;DEPOSITO AHORROS;0;;6,875.00;;TUMACO;
19/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
19/11/2010;221;INTERESES DE AHORROS;0;;6,460.00;;AVENIDA CHILE;
22/11/2010;252;DEPOSITO AHORROS;0;;471,045.00;;LA UNION (ANTIOQUIA);
22/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;LA UNION (ANTIOQUIA);
22/11/2010;252;DEPOSITO AHORROS;0;;26,000.00;;FLORIDA-VALLE;
22/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
22/11/2010;252;DEPOSITO AHORROS;0;;6,875.00;;TUMACO;
22/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
22/11/2010;252;DEPOSITO AHORROS;0;;244,695.00;;EL CERRITO;
22/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;EL CERRITO;
